Field=#~Integer~#~50|Field=Case/Package~String~Case/Package~100|Field=Comment~String~Comment~100|Field=Description~String~Description~100|Field=Designator~String~Designator~100|Field=Footprint~String~Footprint~100|Field=LibRef~String~LibRef~100|Field=Manufacturer~String~Manufacturer~100|Field=Manufacturer Part Number~String~Manufacturer Part Number~100|Field=Pricing 1~String~Pricing 1~100|Field=Quantity~Integer~Quantity~100|Field=Supplier 1~String~Supplier 1~100|Field=Supplier Part Number 1~String~Supplier Part Number 1~100|ReportField=Currency~<none>|ReportField=ProductionQuantity~1|ReportField=ProjectFileName~Arduino Uno.PrjPCB|ReportField=ProjectFullPath~C:\Users\guylh\OneDrive\Documents\Curso Altium\Arduino Uno Exemplo\Arduino Uno.PrjPCB|ReportField=Title~Bill of Materials For Project [Arduino Uno.PrjPCB] (No PCB Document Selected)|ReportField=ReportTime~00:51:02|ReportField=ReportDate~11/04/2020|ReportField=ReportDateTime~11/04/2020 00:51:02|ReportField=OutputName~Bill of Materials|ReportField=OutputType~BOM_PartType|ReportField=GeneratorName~BOM|ReportField=GeneratorDescription~Bill of Materials|ReportField=VariantName~None|ReportField=TotalQuantity~60|ReportField=TotalActualPrice~0|ReportField=TotalTargetPrice~0|ReportField=VersionControl_RevNumber~|ReportField=VersionControl_ProjFolderRevNumber~|ReportField=Address1~Campus do Pici|ReportField=Address2~Fortaleza|ReportField=Address3~Ceará|ReportField=Address4~Brasil|ReportField=Application_BuildNumber~|ReportField=ApprovedBy~|ReportField=Author~Guilherme Alves de Araújo|ReportField=CheckedBy~|ReportField=CompanyName~|ReportField=CurrentDate~11/04/2020|ReportField=CurrentTime~00:46:40|ReportField=Date~|ReportField=DocumentFullPathAndName~C:\Users\guylh\OneDrive\Documents\Curso Altium\Arduino Uno Exemplo\Main.SchDoc|ReportField=DocumentName~Main.SchDoc|ReportField=DocumentNumber~00.1|ReportField=DrawnBy~|ReportField=Engineer~|ReportField=ImagePath~|ReportField=ModifiedDate~10/04/2020|ReportField=Organization~|ReportField=Parameter 1~|ReportField=Parameter 2~|ReportField=Parameter 3~|ReportField=Parameter 4~|ReportField=ProjectName~Arduino Uno.PrjPCB|ReportField=Revision~00|ReportField=Rule~|ReportField=SheetNumber~|ReportField=SheetTotal~|ReportField=Time~|ReportField=Title~Meu projeto Arduino|ReportField=DataSourceFileName~Arduino Uno.PrjPCB|ReportField=DataSourceFullPath~C:\Users\guylh\OneDrive\Documents\Curso Altium\Arduino Uno Exemplo\Arduino Uno.PrjPCB|ReportField=PCBConfigurationName~Sources|ReportField=Item~|ReportField=ItemRevision~|ReportField=ItemAndRevision~|ReportField=ItemRevisionBase~|ReportField=ItemRevisionLevel1~|ReportField=ItemRevisionLevel2~|ReportField=ItemRevisionLevel1AndBase~|ReportField=ItemRevisionLevel2AndLevel1~
21||PROG|Header, 6-Pin|P8|HDR1X6m|Header 6|Amphenol FCI|68000-406HLF|1=0.26, 10=0.245, 100=0.1695, 500=0.14344, 1000=0.11736, 5000=0.10432, 10000=0.09454 (USD)|1|Digi-Key|{URL}https:%2F%2Foctopart-clicks.com%2Fclick%2Faltium%3Fmanufacturer%3DAmphenol%2520FCI%26mpn%3D68000-406HLF%26seller%3DDigi-Key%26sku%3D609-3263-ND%26country%3DBR%26channel%3DBOM%2520Report%26ref%3Dsupplier%26{URL.TEXT}609-3263-ND{URL.TIP}Supplier
22|SOT-23|FDN340P|P-Channel MOSFET|Q1|SOT23|MOSFET-P||FDN340P||1|Digi-Key|{URL}https:%2F%2Foctopart-clicks.com%2Fclick%2Faltium%3Fmanufacturer%3DON%2520Semiconductor%2520%252F%2520Fairchild%26mpn%3DFDN340P%26seller%3DDigi-Key%26sku%3DFDN340PDKR-ND%26country%3DBR%26channel%3DBOM%2520Report%26ref%3Dsupplier%26{URL.TEXT}FDN340PDKR-ND{URL.TIP}Supplier
23|SOT-23|BSS138|N-Channel MOSFET|Q2, Q3|SOT23|MOSFET-N||BSS138||2|Digi-Key|{URL}https:%2F%2Foctopart-clicks.com%2Fclick%2Faltium%3Fmanufacturer%3DON%2520Semiconductor%2520%252F%2520Fairchild%26mpn%3DBSS138%26seller%3DDigi-Key%26sku%3DBSS138CT-ND%26country%3DBR%26channel%3DBOM%2520Report%26ref%3Dsupplier%26{URL.TEXT}BSS138CT-ND{URL.TIP}Supplier
24|0603|270R|Resistor|R1|R1608[0603]|R||CRCW0603270RJNEA|1=0.1, 10=0.031, 100=0.0125, 1000=0.00562, 2500=0.00488 (USD)|1|Digi-Key|{URL}https:%2F%2Foctopart-clicks.com%2Fclick%2Faltium%3Fmanufacturer%3DVishay%2520Dale%26mpn%3DCRCW0603270RJNEA%26seller%3DDigi-Key%26sku%3D541-270GDKR-ND%26country%3DBR%26channel%3DBOM%2520Report%26ref%3Dsupplier%26{URL.TEXT}541-270GDKR-ND{URL.TIP}Supplier
25|0805|1M|Resistor|R2|R2012[0805]|R||ERA-6AEB105V|1=0.36, 10=0.302, 100=0.1182, 1000=0.04948, 2500=0.04536 (USD)|1|Digi-Key|{URL}https:%2F%2Foctopart-clicks.com%2Fclick%2Faltium%3Fmanufacturer%3DPanasonic%26mpn%3DERA-6AEB105V%26seller%3DDigi-Key%26sku%3DP1MDADKR-ND%26country%3DBR%26channel%3DBOM%2520Report%26ref%3Dsupplier%26{URL.TEXT}P1MDADKR-ND{URL.TIP}Supplier
26|0603|100k|Resistor|R3|R1608[0603]|R||MCT06030C1003FP500|1=0.18, 10=0.152, 100=0.0596, 1000=0.02495, 2500=0.02287 (USD)|1|Digi-Key|{URL}https:%2F%2Foctopart-clicks.com%2Fclick%2Faltium%3Fmanufacturer%3DVishay%2520Beyschlag%26mpn%3DMCT06030C1003FP500%26seller%3DDigi-Key%26sku%3DMCT0603-100K-CFDKR-ND%26country%3DBR%26channel%3DBOM%2520Report%26ref%3Dsupplier%26{URL.TEXT}MCT0603-100K-CFDKR-ND{URL.TIP}Supplier
27|0603|10k|Resistor|R4, R6, R7, R8, R9, R10, R11, R14, R15, R16, R17|R1608[0603]|R||MCT06030C1002FP500|1=0.18, 10=0.152, 100=0.0596, 1000=0.02495, 2500=0.02287 (USD)|11|Digi-Key|{URL}https:%2F%2Foctopart-clicks.com%2Fclick%2Faltium%3Fmanufacturer%3DVishay%26mpn%3DMCT06030C1002FP500%26seller%3DDigi-Key%26sku%3DMCT0603-10.0K-CFDKR-ND%26country%3DBR%26channel%3DBOM%2520Report%26ref%3Dsupplier%26{URL.TEXT}MCT0603-10.0K-CFDKR-ND{URL.TIP}Supplier
28|0603|560R|Resistor|R5|R1608[0603]|R||AC0603FR-07560RL|1=0.1, 10=0.032, 100=0.0129, 1000=0.00579, 2500=0.00502 (USD)|1|Digi-Key|{URL}https:%2F%2Foctopart-clicks.com%2Fclick%2Faltium%3Fmanufacturer%3DYageo%26mpn%3DAC0603FR-07560RL%26seller%3DDigi-Key%26sku%3DYAG3618DKR-ND%26country%3DBR%26channel%3DBOM%2520Report%26ref%3Dsupplier%26{URL.TEXT}YAG3618DKR-ND{URL.TIP}Supplier
29|0603|1k|Resistor|R12, R13|R1608[0603]|R||ESR03EZPJ102|1=0.1, 10=0.087, 100=0.0333, 1000=0.01464, 2500=0.01264 (USD)|2|Digi-Key|{URL}https:%2F%2Foctopart-clicks.com%2Fclick%2Faltium%3Fmanufacturer%3DRohm%26mpn%3DESR03EZPJ102%26seller%3DDigi-Key%26sku%3DRHM1.0KDDKR-ND%26country%3DBR%26channel%3DBOM%2520Report%26ref%3Dsupplier%26{URL.TEXT}RHM1.0KDDKR-ND{URL.TIP}Supplier
30|SMD/SMT|SW-PB|Tactile Switch|S1|PB-SW-SMT|SW Tact||PTS645SM43SMTR92LFS|1=0.16, 10=0.157, 25=0.1516, 50=0.1462, 100=0.1381, 250=0.12996, 500=0.12452 (USD)|1|Digi-Key|{URL}https:%2F%2Foctopart-clicks.com%2Fclick%2Faltium%3Fmanufacturer%3DITT%2520C%2526K%26mpn%3DPTS645SM43SMTR92LFS%26seller%3DDigi-Key%26sku%3DCKN9112DKR-ND%26country%3DBR%26channel%3DBOM%2520Report%26ref%3Dsupplier%26{URL.TEXT}CKN9112DKR-ND{URL.TIP}Supplier
31||ATmega328P-PU|8-bit AVR Microcontroller, 32KB Flash, 1KB EEPROM, 2KB SRAM, 28-pin PDIP, Industrial Grade (-40°C to 85°C)|U1|DIP28|ATmega328P-PU||||1||{URL}{URL.TEXT}{URL.TIP}Supplier
32|SOT-223|NCP1117ST50T3G||U2|SOT223_N|Regulator||NCP1117ST50T3G|1=0.47, 10=0.405, 25=0.3776, 100=0.2805, 250=0.2374, 500=0.2266, 1000=0.16725 (USD)|1|Digi-Key|{URL}https:%2F%2Foctopart-clicks.com%2Fclick%2Faltium%3Fmanufacturer%3DON%2520Semiconductor%26mpn%3DNCP1117ST50T3G%26seller%3DDigi-Key%26sku%3DNCP1117ST50T3GOSDKR-ND%26country%3DBR%26channel%3DBOM%2520Report%26ref%3Dsupplier%26{URL.TEXT}NCP1117ST50T3GOSDKR-ND{URL.TIP}Supplier
33|TSSOP|LM358PWR||U3|TSSOP8-1|LM358PWR|Texas Instruments|LM358PWR|1=0.35, 10=0.282, 25=0.258, 100=0.174, 250=0.144, 500=0.132, 1000=0.099 (USD)|1|Digi-Key|{URL}https:%2F%2Foctopart-clicks.com%2Fclick%2Faltium%3Fmanufacturer%3DTexas%2520Instruments%26mpn%3DLM358PWR%26seller%3DDigi-Key%26sku%3D296-9555-1-ND%26country%3DBR%26channel%3DBOM%2520Report%26ref%3Dsupplier%26{URL.TEXT}296-9555-1-ND{URL.TIP}Supplier
34|SOT-223|Regulator||U4|SOT223_N|Regulator|ON Semiconductor|NCP1117ST33T3G|1=0.52, 10=0.444, 100=0.3315, 500=0.26048, 1000=0.20129 (USD)|1|Digi-Key|{URL}https:%2F%2Foctopart-clicks.com%2Fclick%2Faltium%3Fmanufacturer%3DON%2520Semiconductor%26mpn%3DNCP1117ST33T3G%26seller%3DDigi-Key%26sku%3DNCP1117ST33T3GOSDKR-ND%26country%3DBR%26channel%3DBOM%2520Report%26ref%3Dsupplier%26{URL.TEXT}NCP1117ST33T3GOSDKR-ND{URL.TIP}Supplier
35|SSOP|FT231XS-R|USB to Full-Handshake UART Interface Chip, UHCI/OHCI/EHCI Compatible, USB 2.0 Compatible, -40 to +85 degC, 20-Pin SSOP, Pb-Free, Tape and Reel|U5|NSSOP-20_N|FT231XS-R|FTDI|FT231XS-R|1=2.12, 25=2.05, 100=1.98, 250=1.78, 500=1.60002 (USD)|1|Digi-Key|{URL}https:%2F%2Foctopart-clicks.com%2Fclick%2Faltium%3Fmanufacturer%3DFTDI%26mpn%3DFT231XS-R%26seller%3DDigi-Key%26sku%3D768-1129-6-ND%26country%3DBR%26channel%3DBOM%2520Report%26ref%3Dsupplier%26{URL.TEXT}768-1129-6-ND{URL.TIP}Supplier
36||16MHz|Crystal Oscillator|Y1|CRYSTAL-HC49/4H_SMX|XTAL||ECS-160-20-3X-TR|1=0.38, 10=0.316, 50=0.2846, 100=0.253, 500=0.24036, 1000=0.2024 (USD)|1|Digi-Key|{URL}https:%2F%2Foctopart-clicks.com%2Fclick%2Faltium%3Fmanufacturer%3DECS%2520International%26mpn%3DECS-160-20-3X-TR%26seller%3DDigi-Key%26sku%3DXC1776DKR-ND%26country%3DBR%26channel%3DBOM%2520Report%26ref%3Dsupplier%26{URL.TEXT}XC1776DKR-ND{URL.TIP}Supplier
